symbol,date,close
META,2026-03-16 00:00:00+00:00,627.45
META,2026-03-17 00:00:00+00:00,622.66
META,2026-03-18 00:00:00+00:00,615.68
META,2026-03-19 00:00:00+00:00,606.7
META,2026-03-20 00:00:00+00:00,593.66
META,2026-03-23 00:00:00+00:00,604.06
META,2026-03-24 00:00:00+00:00,592.92
META,2026-03-25 00:00:00+00:00,594.89
META,2026-03-26 00:00:00+00:00,547.54
META,2026-03-27 00:00:00+00:00,525.72
META,2026-03-30 00:00:00+00:00,536.38
META,2026-03-31 00:00:00+00:00,572.13
NFLX,2026-03-02 00:00:00+00:00,97.09
NFLX,2026-03-03 00:00:00+00:00,97.7
NFLX,2026-03-04 00:00:00+00:00,98.66
NFLX,2026-03-05 00:00:00+00:00,99.17
NFLX,2026-03-06 00:00:00+00:00,99.02
NFLX,2026-03-09 00:00:00+00:00,98.32
NFLX,2026-03-10 00:00:00+00:00,96.94
NFLX,2026-03-11 00:00:00+00:00,94.89
NFLX,2026-03-12 00:00:00+00:00,94.31
NFLX,2026-03-13 00:00:00+00:00,95.31
NFLX,2026-03-16 00:00:00+00:00,95.2
NFLX,2026-03-17 00:00:00+00:00,94.36
NFLX,2026-03-18 00:00:00+00:00,94.7
NFLX,2026-03-19 00:00:00+00:00,91.74
NFLX,2026-03-20 00:00:00+00:00,91.82
NFLX,2026-03-23 00:00:00+00:00,93.38
NFLX,2026-03-24 00:00:00+00:00,90.92
NFLX,2026-03-25 00:00:00+00:00,92.28
NFLX,2026-03-26 00:00:00+00:00,93.32
NFLX,2026-03-27 00:00:00+00:00,93.43
NFLX,2026-03-30 00:00:00+00:00,92.97
NFLX,2026-03-31 00:00:00+00:00,96.15
